"accruedInterest","askEhmYield","askPrice","askYield","bidEhmYield","bidPrice","bidYield","coupon","currency","green","issueDate","longName","maturityDate","maturityInDays","maturityInDays_val","name","rawName","securityType","settleDate"
0,"","","","7,56","99,8553","7,45",0,"HUF",0,"2022.12.28","D231227","2023.12.27","7 nap",7,"D231227","D231227","DKJ","2023.12.20"
0,"","","","7,55","99,7111","7,45",0,"HUF",0,"2023.10.04","D240103","2024.01.03","14 nap",14,"D240103","D240103","DKJ","2023.12.20"
0,"","","","7,55","99,5673","7,45",0,"HUF",0,"2023.10.11","D240110","2024.01.10","21 nap",21,"D240110","D240110","DKJ","2023.12.20"
0,"","","","7,55","99,4239","7,45",0,"HUF",0,"2023.10.18","D240117","2024.01.17","28 nap",28,"D240117","D240117","DKJ","2023.12.20"
0,"6,23","99,4066","6,14","7,55","99,2809","7,45",0,"HUF",0,"2023.06.21","D240124","2024.01.24","35 nap",35,"D240124","D240124","DKJ","2023.12.20"
0,"6,22","99,2888","6,14","7,55","99,1383","7,45",0,"HUF",0,"2023.11.02","D240131","2024.01.31","42 nap",42,"D240131","D240131","DKJ","2023.12.20"
0,"6,23","99,1712","6,14","7,55","98,9962","7,45",0,"HUF",0,"2023.11.08","D240207","2024.02.07","49 nap",49,"D240207","D240207","DKJ","2023.12.20"
0,"6,23","99,0539","6,14","7,55","98,8544","7,45",0,"HUF",0,"2023.11.15","D240214","2024.02.14","56 nap",56,"D240214","D240214","DKJ","2023.12.20"
0,"6,23","98,9369","6,14","7,55","98,7130","7,45",0,"HUF",0,"2023.03.08","D240221","2024.02.21","63 nap",63,"D240221","D240221","DKJ","2023.12.20"
0,"6,23","98,8202","6,14","7,55","98,5721","7,45",0,"HUF",0,"2023.11.29","D240228","2024.02.28","70 nap",70,"D240228","D240228","DKJ","2023.12.20"
0,"6,23","98,7037","6,14","7,55","98,4315","7,45",0,"HUF",0,"2023.12.06","D240306","2024.03.06","77 nap",77,"D240306","D240306","DKJ","2023.12.20"
0,"6,23","98,5876","6,14","7,55","98,2914","7,45",0,"HUF",0,"2023.12.13","D240313","2024.03.13","84 nap",84,"D240313","D240313","DKJ","2023.12.20"
0,"6,23","98,4717","6,14","7,55","98,1516","7,45",0,"HUF",0,"2023.08.16","D240320","2024.03.20","91 nap",91,"D240320","D240320","DKJ","2023.12.20"
0,"6,33","97,7632","6,24","7,10","97,4976","7,00",0,"HUF",0,"2023.05.03","D240430","2024.04.30","132 nap",132,"D240430","D240430","DKJ","2023.12.20"
0,"6,77","96,6118","6,68","7,45","96,2846","7,35",0,"HUF",0,"2023.06.28","D240626","2024.06.26","189 nap",189,"D240626","D240626","DKJ","2023.12.20"
0,"6,03","96,1083","5,95","6,89","95,5769","6,80",0,"HUF",0,"2023.08.23","D240821","2024.08.21","245 nap",245,"D240821","D240821","DKJ","2023.12.20"
0,"6,67","94,5559","6,58","7,45","93,9574","7,35",0,"HUF",0,"2023.11.02","D241030","2024.10.30","315 nap",315,"D241030","D241030","DKJ","2023.12.20"
